review_id,product,rating,review_text,clean_review,sentiment,label,review_type
37,Wireless Earbuds,3,Works as advertised.,works as advertised.,Neutral,1,Genuine
38,Fitness Tracker,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
39,Smartphone Case,5,Good value for money.,good value for money.,Positive,2,Genuine
40,Laptop Stand,4,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
41,Fitness Tracker,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
42,Wireless Earbuds,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
43,Bluetooth Speaker,4,Works as advertised.,works as advertised.,Positive,2,Genuine
44,Smartphone Case,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
45,Bluetooth Speaker,4,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
46,Wireless Earbuds,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
47,Smartwatch,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
48,Fitness Tracker,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
49,Fitness Tracker,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
50,Gaming Mouse,3,Not satisfied with the build quality.,not satisfied with the build quality.,Neutral,1,Genuine
51,Smartwatch,2,Would not buy again.,would not buy again.,Negative,0,Genuine
52,Smartphone Case,4,Good value for money.,good value for money.,Positive,2,Genuine
53,LED Monitor,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
54,Laptop Stand,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
55,Bluetooth Speaker,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
56,Mechanical Keyboard,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
57,Gaming Mouse,3,Not satisfied with the build quality.,not satisfied with the build quality.,Neutral,1,Genuine
58,Laptop Stand,5,Exceeded my expectations!,exceeded my expectations!,Positive,2,Genuine
59,Fitness Tracker,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
60,Bluetooth Speaker,1,Would not buy again.,would not buy again.,Negative,0,Genuine
61,Mechanical Keyboard,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
62,Gaming Mouse,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
63,Bluetooth Speaker,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
64,Mechanical Keyboard,2,Works as advertised.,works as advertised.,Negative,0,Genuine
65,Portable Charger,1,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
66,Smartphone Case,3,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Neutral,1,Genuine
67,Bluetooth Speaker,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
68,Smartwatch,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
69,Gaming Mouse,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
70,LED Monitor,1,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
71,Fitness Tracker,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
72,LED Monitor,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
73,Gaming Mouse,4,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
74,Gaming Mouse,4,Battery life could be better.,battery life could be better.,Positive,2,Genuine
75,Portable Charger,3,Excellent quality and fast delivery.,excellent quality and fast delivery.,Neutral,1,Genuine
76,Smartwatch,3,"Average product, expected better.","average product, expected better.",Neutral,1,Genuine
77,Portable Charger,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
78,Laptop Stand,1,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
79,Mechanical Keyboard,3,Good value for money.,good value for money.,Neutral,1,Genuine
80,Fitness Tracker,1,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
81,Portable Charger,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
82,LED Monitor,3,Works as advertised.,works as advertised.,Neutral,1,Genuine
83,LED Monitor,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
84,Mechanical Keyboard,1,Works as advertised.,works as advertised.,Negative,0,Genuine
85,Wireless Earbuds,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
86,Smartwatch,2,Would not buy again.,would not buy again.,Negative,0,Genuine
87,Smartwatch,2,Works as advertised.,works as advertised.,Negative,0,Genuine
88,Gaming Mouse,3,Works as advertised.,works as advertised.,Neutral,1,Genuine
89,LED Monitor,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
90,Wireless Earbuds,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
91,Wireless Earbuds,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
92,Portable Charger,2,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
93,Gaming Mouse,3,Good value for money.,good value for money.,Neutral,1,Genuine
94,Gaming Mouse,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
95,Laptop Stand,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
96,Laptop Stand,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
97,Fitness Tracker,2,Would not buy again.,would not buy again.,Negative,0,Genuine
98,Gaming Mouse,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
99,Smartphone Case,3,Not satisfied with the build quality.,not satisfied with the build quality.,Neutral,1,Genuine
100,Fitness Tracker,2,Would not buy again.,would not buy again.,Negative,0,Genuine
101,Portable Charger,4,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
102,Mechanical Keyboard,3,"Average product, expected better.","average product, expected better.",Neutral,1,Genuine
103,LED Monitor,5,Battery life could be better.,battery life could be better.,Positive,2,Genuine
104,Bluetooth Speaker,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
105,Laptop Stand,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
106,Wireless Earbuds,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
107,Mechanical Keyboard,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
108,Smartphone Case,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
109,Bluetooth Speaker,4,Would not buy again.,would not buy again.,Positive,2,Genuine
110,Smartphone Case,3,Exceeded my expectations!,exceeded my expectations!,Neutral,1,Genuine
111,Bluetooth Speaker,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
112,Portable Charger,5,Works as advertised.,works as advertised.,Positive,2,Genuine
113,Laptop Stand,2,Works as advertised.,works as advertised.,Negative,0,Genuine
114,Bluetooth Speaker,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
115,Laptop Stand,3,Would not buy again.,would not buy again.,Neutral,1,Genuine
116,Fitness Tracker,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
117,Bluetooth Speaker,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
118,LED Monitor,2,Would not buy again.,would not buy again.,Negative,0,Genuine
119,Smartwatch,1,Good value for money.,good value for money.,Negative,0,Genuine
120,Gaming Mouse,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
121,Fitness Tracker,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
122,Laptop Stand,4,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
123,Wireless Earbuds,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
124,Fitness Tracker,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
125,Laptop Stand,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
126,LED Monitor,3,Works as advertised.,works as advertised.,Neutral,1,Genuine
127,Portable Charger,2,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
128,Mechanical Keyboard,5,Exceeded my expectations!,exceeded my expectations!,Positive,2,Genuine
129,Portable Charger,4,Good value for money.,good value for money.,Positive,2,Genuine
130,Smartphone Case,3,"Average product, expected better.","average product, expected better.",Neutral,1,Genuine
131,Fitness Tracker,1,Works as advertised.,works as advertised.,Negative,0,Genuine
132,Smartphone Case,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
133,Wireless Earbuds,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
134,Portable Charger,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
135,Smartphone Case,4,Good value for money.,good value for money.,Positive,2,Genuine
136,Wireless Earbuds,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
137,Laptop Stand,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
138,Smartphone Case,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
139,Bluetooth Speaker,3,Exceeded my expectations!,exceeded my expectations!,Neutral,1,Genuine
140,Gaming Mouse,5,Exceeded my expectations!,exceeded my expectations!,Positive,2,Genuine
141,Wireless Earbuds,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
142,Laptop Stand,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
143,Bluetooth Speaker,3,Would not buy again.,would not buy again.,Neutral,1,Genuine
144,Laptop Stand,2,Works as advertised.,works as advertised.,Negative,0,Genuine
145,LED Monitor,5,Good value for money.,good value for money.,Positive,2,Genuine
146,Wireless Earbuds,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
147,Portable Charger,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
148,Wireless Earbuds,5,Works as advertised.,works as advertised.,Positive,2,Genuine
149,Bluetooth Speaker,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
150,Bluetooth Speaker,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
151,Portable Charger,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
152,LED Monitor,1,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
153,Mechanical Keyboard,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
154,Smartwatch,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
155,Laptop Stand,4,Good value for money.,good value for money.,Positive,2,Genuine
156,Gaming Mouse,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
157,Wireless Earbuds,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
158,LED Monitor,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
159,Gaming Mouse,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
160,Bluetooth Speaker,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
161,Smartphone Case,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
162,Mechanical Keyboard,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
163,Gaming Mouse,5,Works as advertised.,works as advertised.,Positive,2,Genuine
164,Gaming Mouse,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
165,Bluetooth Speaker,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
166,LED Monitor,1,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
167,Smartphone Case,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
168,Gaming Mouse,3,Good value for money.,good value for money.,Neutral,1,Genuine
169,Laptop Stand,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
170,Wireless Earbuds,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
171,Portable Charger,5,Good value for money.,good value for money.,Positive,2,Genuine
172,Smartwatch,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
173,Gaming Mouse,3,Would not buy again.,would not buy again.,Neutral,1,Genuine
174,Mechanical Keyboard,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
175,Fitness Tracker,2,Good value for money.,good value for money.,Negative,0,Genuine
176,Smartwatch,1,Works as advertised.,works as advertised.,Negative,0,Genuine
177,Mechanical Keyboard,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
178,Smartphone Case,2,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
179,Wireless Earbuds,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
180,Mechanical Keyboard,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
181,Portable Charger,4,Good value for money.,good value for money.,Positive,2,Genuine
182,LED Monitor,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
183,Bluetooth Speaker,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
184,Gaming Mouse,1,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
185,Fitness Tracker,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
186,LED Monitor,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
187,Portable Charger,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
188,Wireless Earbuds,5,Good value for money.,good value for money.,Positive,2,Genuine
189,Mechanical Keyboard,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
190,Portable Charger,3,Excellent quality and fast delivery.,excellent quality and fast delivery.,Neutral,1,Genuine
191,LED Monitor,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
192,Smartphone Case,5,Battery life could be better.,battery life could be better.,Positive,2,Genuine
193,Mechanical Keyboard,2,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
194,Fitness Tracker,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
195,Smartwatch,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
196,Laptop Stand,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
197,Bluetooth Speaker,5,Good value for money.,good value for money.,Positive,2,Genuine
198,Portable Charger,4,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
199,Fitness Tracker,5,Would not buy again.,would not buy again.,Positive,2,Genuine
200,LED Monitor,2,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
201,Mechanical Keyboard,2,Works as advertised.,works as advertised.,Negative,0,Genuine
202,Smartwatch,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
203,Wireless Earbuds,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
204,Gaming Mouse,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
205,Smartwatch,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
206,Wireless Earbuds,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
207,Portable Charger,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
208,LED Monitor,5,Battery life could be better.,battery life could be better.,Positive,2,Genuine
209,Smartwatch,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
210,Wireless Earbuds,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
211,Smartwatch,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
212,LED Monitor,5,Exceeded my expectations!,exceeded my expectations!,Positive,2,Genuine
213,Gaming Mouse,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
214,Fitness Tracker,5,Works as advertised.,works as advertised.,Positive,2,Genuine
215,Smartwatch,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
216,Wireless Earbuds,3,Exceeded my expectations!,exceeded my expectations!,Neutral,1,Genuine
217,Smartwatch,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
218,Wireless Earbuds,4,Good value for money.,good value for money.,Positive,2,Genuine
219,LED Monitor,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
220,LED Monitor,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
221,Smartwatch,3,Would not buy again.,would not buy again.,Neutral,1,Genuine
222,Bluetooth Speaker,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
223,Gaming Mouse,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
224,LED Monitor,5,Works as advertised.,works as advertised.,Positive,2,Genuine
225,Smartphone Case,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
226,Fitness Tracker,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
227,Wireless Earbuds,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
228,Wireless Earbuds,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
229,LED Monitor,4,Works as advertised.,works as advertised.,Positive,2,Genuine
230,Gaming Mouse,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
231,LED Monitor,1,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
232,Portable Charger,3,Good value for money.,good value for money.,Neutral,1,Genuine
233,Smartphone Case,5,Would not buy again.,would not buy again.,Positive,2,Genuine
234,Gaming Mouse,3,"Average product, expected better.","average product, expected better.",Neutral,1,Genuine
235,LED Monitor,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
236,Bluetooth Speaker,3,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Neutral,1,Genuine
237,Portable Charger,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
238,Laptop Stand,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
239,LED Monitor,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
240,Fitness Tracker,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
241,Smartwatch,1,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
242,Portable Charger,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
243,Bluetooth Speaker,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
244,Portable Charger,4,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
245,Fitness Tracker,4,Works as advertised.,works as advertised.,Positive,2,Genuine
246,Fitness Tracker,4,Battery life could be better.,battery life could be better.,Positive,2,Genuine
247,Laptop Stand,5,Battery life could be better.,battery life could be better.,Positive,2,Genuine
248,Bluetooth Speaker,5,Works as advertised.,works as advertised.,Positive,2,Genuine
249,Portable Charger,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
250,Smartphone Case,3,Good value for money.,good value for money.,Neutral,1,Genuine
251,Wireless Earbuds,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
252,Gaming Mouse,3,Would not buy again.,would not buy again.,Neutral,1,Genuine
253,Fitness Tracker,1,Works as advertised.,works as advertised.,Negative,0,Genuine
254,Fitness Tracker,2,Good value for money.,good value for money.,Negative,0,Genuine
255,Gaming Mouse,2,Would not buy again.,would not buy again.,Negative,0,Genuine
256,Mechanical Keyboard,5,Works as advertised.,works as advertised.,Positive,2,Genuine
257,Gaming Mouse,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
258,Portable Charger,4,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
259,Laptop Stand,4,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
260,Gaming Mouse,4,Good value for money.,good value for money.,Positive,2,Genuine
261,Smartwatch,4,Would not buy again.,would not buy again.,Positive,2,Genuine
262,LED Monitor,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
263,Gaming Mouse,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
264,Smartphone Case,1,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
265,Wireless Earbuds,4,Good value for money.,good value for money.,Positive,2,Genuine
266,Wireless Earbuds,1,Works as advertised.,works as advertised.,Negative,0,Genuine
267,Mechanical Keyboard,1,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
268,Fitness Tracker,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
269,Mechanical Keyboard,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
270,Bluetooth Speaker,3,Not satisfied with the build quality.,not satisfied with the build quality.,Neutral,1,Genuine
271,Fitness Tracker,2,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
272,Mechanical Keyboard,2,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
273,Mechanical Keyboard,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
274,Laptop Stand,4,Would not buy again.,would not buy again.,Positive,2,Genuine
275,Bluetooth Speaker,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
276,Gaming Mouse,2,Good value for money.,good value for money.,Negative,0,Genuine
277,LED Monitor,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
278,Mechanical Keyboard,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
279,Smartphone Case,4,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
280,Smartphone Case,5,Battery life could be better.,battery life could be better.,Positive,2,Genuine
281,Mechanical Keyboard,3,"Average product, expected better.","average product, expected better.",Neutral,1,Genuine
282,Wireless Earbuds,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
283,LED Monitor,3,"Average product, expected better.","average product, expected better.",Neutral,1,Genuine
284,Smartphone Case,3,Exceeded my expectations!,exceeded my expectations!,Neutral,1,Genuine
285,LED Monitor,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
286,Fitness Tracker,5,Excellent quality and fast delivery.,excellent quality and fast delivery.,Positive,2,Genuine
287,Mechanical Keyboard,2,Good value for money.,good value for money.,Negative,0,Genuine
288,LED Monitor,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
289,Bluetooth Speaker,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
290,Smartwatch,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
291,Fitness Tracker,4,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
292,Mechanical Keyboard,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
293,Bluetooth Speaker,3,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Neutral,1,Genuine
294,Portable Charger,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
295,Laptop Stand,1,Excellent quality and fast delivery.,excellent quality and fast delivery.,Negative,0,Genuine
296,Wireless Earbuds,1,Would not buy again.,would not buy again.,Negative,0,Genuine
297,Bluetooth Speaker,2,Works as advertised.,works as advertised.,Negative,0,Genuine
298,LED Monitor,4,Would not buy again.,would not buy again.,Positive,2,Genuine
299,Wireless Earbuds,1,Would not buy again.,would not buy again.,Negative,0,Genuine
300,Mechanical Keyboard,5,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
301,Smartwatch,1,Would not buy again.,would not buy again.,Negative,0,Genuine
302,Smartphone Case,4,Works as advertised.,works as advertised.,Positive,2,Genuine
303,LED Monitor,3,Works as advertised.,works as advertised.,Neutral,1,Genuine
304,Smartphone Case,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
305,Portable Charger,4,Battery life could be better.,battery life could be better.,Positive,2,Genuine
306,Smartphone Case,2,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
307,LED Monitor,4,Battery life could be better.,battery life could be better.,Positive,2,Genuine
308,LED Monitor,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
309,Gaming Mouse,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
